Date,Open,High,Low,Close,Volume,BTC_Price_CryptoCompare,BTC_Volume_CryptoCompare,BTC_SMA_50,BTC_EMA_20,BTC_RSI,BTC_MACD,Fear_Greed_Index,BTC_Sentiment,BTC_Trends
2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,7189.94,85986188.11,,,,,37.0,0.326,23
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,6965.72,187393954.35,,,,,39.0,0.2441,26
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,7339.7,376690440.38,,,,,38.0,0.0762,30
2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,7357.5,162106895.05,,,,,38.0,0.152,25
2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,7359.96,179147746.87,,,,,39.0,0.1294,25
2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,7762.69,352286216.6,,,,,41.0,0.05,29
2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,8160.36,600054472.25,,,,,40.0,0.0997,35
2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,8045.15,699004342.7,,,,,51.0,0.0958,37
2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,7817.35,316199456.84,,,,,44.0,0.1214,30
2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,8190.31,441131626.25,,,,,41.0,0.0604,29
2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,8024.58,250060123.9,,,,,50.0,0.2118,27
2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,8181.49,142197585.82,,,,,45.0,0.2433,25
2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,8106.56,184437465.66,,,,,49.0,0.1077,26
2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,8820.95,768098459.01,,,79.41773074396407,,56.0,0.1157,37
2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,8813.21,441186933.78,,,78.57464982224246,,54.0,0.2032,38
2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,8719.63,290989712.92,,,75.1303283946377,,55.0,0.14,32
